match_id,game_version,tft_set,placement,level,last_round,gold_left,total_damage_to_players,augments,traits,units,companion
NA1_5449053995,Linux Version 15.24.734.7485 (Dec 19 2025/11:16:31) [PUBLIC] <Releases/15.24>,16,1,9,35,0,164,[],"[{""name"": ""TFT16_Blacksmith"", ""tier_current"": 1, ""num_units"": 1}, {""name"": ""TFT16_Brawler"", ""tier_current"": 1, ""num_units"": 2}, {""name"": ""TFT16_DarkinWeapon"", ""tier_current"": 1, ""num_units"": 1}, {""name"": ""TFT16_Defender"", ""tier_current"": 1, ""num_units"": 2}, {""name"": ""TFT16_Freljord"", ""tier_current"": 3, ""num_units"": 7}, {""name"": ""TFT16_Warden"", ""tier_current"": 1, ""num_units"": 2}]","[{""character_id"": ""TFT16_Ashe"", ""tier"": 2, ""items"": [""TFT_Item_GuinsoosRageblade"", ""TFT_Item_RunaansHurricane"", ""TFT_Item_LastWhisper""]}, {""character_id"": ""TFT16_Neeko"", ""tier"": 3, ""items"": [""TFT_Item_Redemption"", ""TFT16_Item_FreljordEmblemItem"", ""TFT_Item_RedBuff""]}, {""character_id"": ""TFT16_Tryndamere"", ""tier"": 3, ""items"": [""TFT_Item_InfinityEdge"", ""TFT16_TheDarkinScythe"", ""TFT_Item_Quicksilver""]}, {""character_id"": ""TFT16_Sejuani"", ""tier"": 2, ""items"": []}, {""character_id"": ""TFT16_Lissandra"", ""tier"": 1, ""items"": [""TFT_Item_AdaptiveHelm"", ""TFT_Item_RabadonsDeathcap"", ""TFT_Item_RabadonsDeathcap""]}, {""character_id"": ""TFT16_Wukong"", ""tier"": 2, ""items"": []}, {""character_id"": ""TFT16_Braum"", ""tier"": 2, ""items"": []}, {""character_id"": ""TFT16_Ornn"", ""tier"": 1, ""items"": [""TFT_Item_Artifact_AegisOfDawn""]}, {""character_id"": ""TFT16_Volibear"", ""tier"": 1, ""items"": [""TFT_Item_Bloodthirster"", ""TFT4_Item_OrnnInfinityForce"", ""TFT_Item_SteraksGage""]}]",7b4009d4-1c30-4c39-ac6a-6e591e322d46
NA1_5449053995,Linux Version 15.24.734.7485 (Dec 19 2025/11:16:31) [PUBLIC] <Releases/15.24>,16,2,9,35,0,130,[],"[{""name"": ""TFT16_Brawler"", ""tier_current"": 1, ""num_units"": 2}, {""name"": ""TFT16_Gunslinger"", ""tier_current"": 1, ""num_units"": 2}, {""name"": ""TFT16_Ionia"", ""tier_current"": 2, ""num_units"": 5}, {""name"": ""TFT16_KindredUnique"", ""tier_current"": 1, ""num_units"": 1}, {""name"": ""TFT16_Rapidfire"", ""tier_current"": 1, ""num_units"": 2}, {""name"": ""TFT16_Soulbound"", ""tier_current"": 1, ""num_units"": 1}, {""name"": ""TFT16_Targon"", ""tier_current"": 1, ""num_units"": 1}, {""name"": ""TFT16_TheBoss"", ""tier_current"": 1, ""num_units"": 1}]","[{""character_id"": ""TFT16_Shen"", ""tier"": 2, ""items"": []}, {""character_id"": ""TFT16_Jhin"", ""tier"": 2, ""items"": []}, {""character_id"": ""TFT16_Ashe"", ""tier"": 1, ""items"": []}, {""character_id"": ""TFT16_Taric"", ""tier"": 2, ""items"": []}, {""character_id"": ""TFT16_Wukong"", ""tier"": 2, ""items"": [""TFT_Item_FrozenHeart"", ""TFT_Item_GargoyleStoneplate"", ""TFT_Item_RedBuff""]}, {""character_id"": ""TFT16_Skarner"", ""tier"": 2, ""items"": [""TFT_Item_ThiefsGloves"", ""TFT_Item_UnstableConcoction"", ""TFT_Item_Leviathan""]}, {""character_id"": ""TFT16_Yunara"", ""tier"": 2, ""items"": [""TFT_Item_RunaansHurricane"", ""TFT_Item_GuinsoosRageblade"", ""TFT_Item_InfinityEdge""]}, {""character_id"": ""TFT16_Lucian"", ""tier"": 1, ""items"": [""TFT_Item_LastWhisper"", ""TFT_Item_AdaptiveHelm""]}, {""character_id"": ""TFT16_Sett"", ""tier"": 2, ""items"": [""TFT_Item_ArchangelsStaff""]}]",4de10c0b-a837-46a8-8091-8b88f5d1462e
NA1_5449053995,Linux Version 15.24.734.7485 (Dec 19 2025/11:16:31) [PUBLIC] <Releases/15.24>,16,6,8,30,32,60,[],"[{""name"": ""TFT16_Defender"", ""tier_current"": 1, ""num_units"": 2}, {""name"": ""TFT16_Emperor"", ""tier_current"": 1, ""num_units"": 1}, {""name"": ""TFT16_Magus"", ""tier_current"": 1, ""num_units"": 2}, {""name"": ""TFT16_Piltover"", ""tier_current"": 1, ""num_units"": 2}, {""name"": ""TFT16_Shurima"", ""tier_current"": 1, ""num_units"": 2}, {""name"": ""TFT16_Sorcerer"", ""tier_current"": 1, ""num_units"": 2}, {""name"": ""TFT16_Targon"", ""tier_current"": 1, ""num_units"": 2}]","[{""character_id"": ""TFT16_Neeko"", ""tier"": 1, ""items"": []}, {""character_id"": ""TFT16_Vi"", ""tier"": 2, ""items"": []}, {""character_id"": ""TFT16_Taric"", ""tier"": 2, ""items"": [""TFT_Item_RedBuff"", ""TFT_Item_Artifact_VoidGauntlet"", ""TFT_Item_GargoyleStoneplate""]}, {""character_id"": ""TFT16_Seraphine"", ""tier"": 1, ""items"": [""TFT_Item_StatikkShiv""]}, {""character_id"": ""TFT16_Diana"", ""tier"": 2, ""items"": [""TFT_Item_TitansResolve"", ""TFT_Item_Bloodthirster"", ""TFT_Item_GuinsoosRageblade""]}, {""character_id"": ""TFT16_Renekton"", ""tier"": 2, ""items"": [""TFT_Item_MadredsBloodrazor"", ""TFT_Item_Bloodthirster"", ""TFT_Item_BFSword""]}, {""character_id"": ""TFT16_Swain"", ""tier"": 2, ""items"": [""TFT_Item_Redemption""]}, {""character_id"": ""TFT16_Azir"", ""tier"": 1, ""items"": []}]",fd28e7f0-d853-4f82-b064-a22df0577ff9
NA1_5449053995,Linux Version 15.24.734.7485 (Dec 19 2025/11:16:31) [PUBLIC] <Releases/15.24>,16,8,8,21,33,11,[],"[{""name"": ""TFT16_Brawler"", ""tier_current"": 1, ""num_units"": 2}, {""name"": ""TFT16_Ionia"", ""tier_current"": 3, ""num_units"": 7}, {""name"": ""TFT16_Rapidfire"", ""tier_current"": 1, ""num_units"": 2}, {""name"": ""TFT16_Targon"", ""tier_current"": 1, ""num_units"": 1}, {""name"": ""TFT16_TheBoss"", ""tier_current"": 1, ""num_units"": 1}]","[{""character_id"": ""TFT16_Shen"", ""tier"": 2, ""items"": []}, {""character_id"": ""TFT16_Jhin"", ""tier"": 1, ""items"": []}, {""character_id"": ""TFT16_Ashe"", ""tier"": 2, ""items"": [""TFT16_Item_IoniaEmblemItem""]}, {""character_id"": ""TFT16_Kennen"", ""tier"": 1, ""items"": []}, {""character_id"": ""TFT16_Taric"", ""tier"": 1, ""items"": []}, {""character_id"": ""TFT16_Wukong"", ""tier"": 1, ""items"": []}, {""character_id"": ""TFT16_Yunara"", ""tier"": 2, ""items"": [""TFT_Item_GuinsoosRageblade"", ""TFT_Item_InfinityEdge"", ""TFT_Item_Deathblade""]}, {""character_id"": ""TFT16_Sett"", ""tier"": 1, ""items"": [""TFT_Item_RedBuff"", ""TFT_Item_NegatronCloak""]}]",8a5a8621-64f6-42d4-81a3-dd7b606ed08f
NA1_5449053995,Linux Version 15.24.734.7485 (Dec 19 2025/11:16:31) [PUBLIC] <Releases/15.24>,16,3,9,34,0,99,[],"[{""name"": ""TFT16_Defender"", ""tier_current"": 1, ""num_units"": 2}, {""name"": ""TFT16_Emperor"", ""tier_current"": 1, ""num_units"": 1}, {""name"": ""TFT16_Juggernaut"", ""tier_current"": 1, ""num_units"": 2}, {""name"": ""TFT16_Magus"", ""tier_current"": 1, ""num_units"": 2}, {""name"": ""TFT16_Piltover"", ""tier_current"": 1, ""num_units"": 2}, {""name"": ""TFT16_Shurima"", ""tier_current"": 1, ""num_units"": 2}, {""name"": ""TFT16_ShyvanaUnique"", ""tier_current"": 1, ""num_units"": 1}, {""name"": ""TFT16_Sorcerer"", ""tier_current"": 1, ""num_units"": 2}, {""name"": ""TFT16_Soulbound"", ""tier_current"": 1, ""num_units"": 1}, {""name"": ""TFT16_Targon"", ""tier_current"": 1, ""num_units"": 1}]","[{""character_id"": ""TFT16_Neeko"", ""tier"": 2, ""items"": []}, {""character_id"": ""TFT16_Vi"", ""tier"": 2, ""items"": []}, {""character_id"": ""TFT16_Seraphine"", ""tier"": 2, ""items"": [""TFT_Item_StatikkShiv"", ""TFT_Item_Morellonomicon""]}, {""character_id"": ""TFT16_Diana"", ""tier"": 2, ""items"": [""TFT_Item_GuinsoosRageblade"", ""TFT_Item_TitansResolve"", ""TFT_Item_Bloodthirster""]}, {""character_id"": ""TFT16_Renekton"", ""tier"": 1, ""items"": []}, {""character_id"": ""TFT16_Swain"", ""tier"": 2, ""items"": [""TFT_Item_WarmogsArmor"", ""TFT_Item_NightHarvester"", ""TFT_Item_FrozenHeart""]}, {""character_id"": ""TFT16_Azir"", ""tier"": 2, ""items"": []}, {""character_id"": ""TFT16_Lucian"", ""tier"": 2, ""items"": []}, {""character_id"": ""TFT16_Shyvana"", ""tier"": 2, ""items"": [""TFT_Item_GuardianAngel"", ""TFT_Item_UnstableConcoction""]}]",f130db9f-a102-4dac-be13-e332adb942ff
NA1_5449053995,Linux Version 15.24.734.7485 (Dec 19 2025/11:16:31) [PUBLIC] <Releases/15.24>,16,5,9,33,0,111,[],"[{""name"": ""TFT16_Brawler"", ""tier_current"": 1, ""num_units"": 2}, {""name"": ""TFT16_Harvester"", ""tier_current"": 1, ""num_units"": 1}, {""name"": ""TFT16_Juggernaut"", ""tier_current"": 1, ""num_units"": 2}, {""name"": ""TFT16_KaisaUnique"", ""tier_current"": 1, ""num_units"": 1}, {""name"": ""TFT16_Longshot"", ""tier_current"": 1, ""num_units"": 2}, {""name"": ""TFT16_Sorcerer"", ""tier_current"": 1, ""num_units"": 2}, {""name"": ""TFT16_Void"", ""tier_current"": 3, ""num_units"": 6}]","[{""character_id"": ""TFT16_KogMaw"", ""tier"": 2, ""items"": []}, {""character_id"": ""TFT16_ChoGath"", ""tier"": 2, ""items"": []}, {""character_id"": ""TFT16_Malzahar"", ""tier"": 2, ""items"": [""TFT_Item_TearOfTheGoddess"", ""TFT_Item_StatikkShiv""]}, {""character_id"": ""TFT16_BelVeth"", ""tier"": 2, ""items"": [""TFT_Item_InfinityEdge""]}, {""character_id"": ""TFT16_RiftHerald"", ""tier"": 2, ""items"": [""TFT_Item_RedBuff"", ""TFT_Item_Redemption"", ""TFT_Item_GargoyleStoneplate""]}, {""character_id"": ""TFT16_Kaisa"", ""tier"": 2, ""items"": [""TFT_Item_HextechGunblade"", ""TFT_Item_ArchangelsStaff"", ""TFT_Item_GuinsoosRageblade""]}, {""character_id"": ""TFT16_Swain"", ""tier"": 2, ""items"": []}, {""character_id"": ""TFT16_Fiddlesticks"", ""tier"": 1, ""items"": []}, {""character_id"": ""TFT16_Volibear"", ""tier"": 1, ""items"": [""TFT_Item_SpectralGauntlet"", ""TFT_Item_SteraksGage"", ""TFT_Item_HextechGunblade""]}]",4d93f9fb-5123-4f86-8f1a-ccc164e9d368
NA1_5449053995,Linux Version 15.24.734.7485 (Dec 19 2025/11:16:31) [PUBLIC] <Releases/15.24>,16,4,9,33,40,105,[],"[{""name"": ""TFT16_Bilgewater"", ""tier_current"": 3, ""num_units"": 9}, {""name"": ""TFT16_Brawler"", ""tier_current"": 1, ""num_units"": 2}, {""name"": ""TFT16_Glutton"", ""tier_current"": 1, ""num_units"": 1}, {""name"": ""TFT16_Gunslinger"", ""tier_current"": 1, ""num_units"": 2}, {""name"": ""TFT16_Targon"", ""tier_current"": 1, ""num_units"": 1}]","[{""character_id"": ""TFT16_Illaoi"", ""tier"": 3, ""items"": [""TFT_Item_TitansResolve"", ""TFT_Item_InfinityEdge"", ""TFT_Item_UnstableConcoction""]}, {""character_id"": ""TFT16_TwistedFate"", ""tier"": 2, ""items"": [""TFT16_Item_Bilgewater_CaptainsBrew"", ""TFT_Item_Morellonomicon""]}, {""character_id"": ""TFT16_Graves"", ""tier"": 2, ""items"": []}, {""character_id"": ""TFT16_Nautilus"", ""tier"": 2, ""items"": []}, {""character_id"": ""TFT16_MissFortune"", ""tier"": 2, ""items"": [""TFT16_Item_Bilgewater_DeadmansDagger"", ""TFT_Item_Deathblade"", ""TFT_Item_BlueBuff""]}, {""character_id"": ""TFT16_Taric"", ""tier"": 1, ""items"": [""TFT16_Item_BilgewaterEmblemItem"", ""TFT_Item_Redemption""]}, {""character_id"": ""TFT16_Fizz"", ""tier"": 1, ""items"": []}, {""character_id"": ""TFT16_Skarner"", ""tier"": 2, ""items"": [""TFT_Item_GargoyleStoneplate"", ""TFT16_Item_BilgewaterEmblemItem"", ""TFT_Item_Artifact_LightshieldCrest""]}, {""character_id"": ""TFT16_TahmKench"", ""tier"": 1, ""items"": [""TFT_Item_FrozenHeart"", ""TFT_Item_Redemption"", ""TFT_Item_BrambleVest""]}]",ed8aaef3-8ef5-4357-a0a4-b49e0e0bb565
NA1_5449053995,Linux Version 15.24.734.7485 (Dec 19 2025/11:16:31) [PUBLIC] <Releases/15.24>,16,7,8,28,0,56,[],"[{""name"": ""TFT16_Emperor"", ""tier_current"": 1, ""num_units"": 1}, {""name"": ""TFT16_Juggernaut"", ""tier_current"": 1, ""num_units"": 2}, {""name"": ""TFT16_Magus"", ""tier_current"": 1, ""num_units"": 3}, {""name"": ""TFT16_Noxus"", ""tier_current"": 1, ""num_units"": 3}, {""name"": ""TFT16_Piltover"", ""tier_current"": 1, ""num_units"": 2}, {""name"": ""TFT16_Vanquisher"", ""tier_current"": 1, ""num_units"": 2}, {""name"": ""TFT16_Warden"", ""tier_current"": 1, ""num_units"": 2}]","[{""character_id"": ""TFT16_Nautilus"", ""tier"": 2, ""items"": [""TFT_Item_Crownguard"", ""TFT_Item_Redemption"", ""TFT_Item_SpectralGauntlet""]}, {""character_id"": ""TFT16_Gangplank"", ""tier"": 2, ""items"": []}, {""character_id"": ""TFT16_Loris"", ""tier"": 2, ""items"": []}, {""character_id"": ""TFT16_Ambessa"", ""tier"": 2, ""items"": [""TFT_Item_Bloodthirster"", ""TFT_Item_InfinityEdge"", ""TFT_Item_Deathblade""]}, {""character_id"": ""TFT16_Seraphine"", ""tier"": 1, ""items"": []}, {""character_id"": ""TFT16_Swain"", ""tier"": 1, ""items"": []}, {""character_id"": ""TFT16_Azir"", ""tier"": 2, ""items"": [""TFT_Item_RapidFireCannon"", ""TFT_Item_PowerGauntlet""]}, {""character_id"": ""TFT16_Mel"", ""tier"": 1, ""items"": []}, {""character_id"": ""tft16_atakhan"", ""tier"": 1, ""items"": []}]",5897ad9f-4665-4372-8f3e-6c878adb8918
NA1_5448851197,Linux Version 15.24.734.7485 (Dec 19 2025/11:16:31) [PUBLIC] <Releases/15.24>,16,4,10,33,2,97,[],"[{""name"": ""TFT16_Bilgewater"", ""tier_current"": 1, ""num_units"": 4}, {""name"": ""TFT16_Brawler"", ""tier_current"": 1, ""num_units"": 2}, {""name"": ""TFT16_Glutton"", ""tier_current"": 1, ""num_units"": 1}, {""name"": ""TFT16_Gunslinger"", ""tier_current"": 1, ""num_units"": 2}, {""name"": ""TFT16_Harvester"", ""tier_current"": 1, ""num_units"": 1}, {""name"": ""TFT16_Juggernaut"", ""tier_current"": 1, ""num_units"": 2}, {""name"": ""TFT16_KindredUnique"", ""tier_current"": 1, ""num_units"": 1}, {""name"": ""TFT16_Rapidfire"", ""tier_current"": 1, ""num_units"": 2}, {""name"": ""TFT16_ShyvanaUnique"", ""tier_current"": 1, ""num_units"": 1}, {""name"": ""TFT16_Soulbound"", ""tier_current"": 1, ""num_units"": 1}, {""name"": ""TFT16_Targon"", ""tier_current"": 1, ""num_units"": 1}]","[{""character_id"": ""TFT16_TwistedFate"", ""tier"": 2, ""items"": []}, {""character_id"": ""TFT16_Nautilus"", ""tier"": 2, ""items"": []}, {""character_id"": ""TFT16_MissFortune"", ""tier"": 2, ""items"": [""TFT_Item_BlueBuff"", ""TFT16_Item_Bilgewater_DeadmansDagger"", ""TFT16_Item_Bilgewater_CaptainsBrew""]}, {""character_id"": ""TFT16_Taric"", ""tier"": 1, ""items"": []}, {""character_id"": ""TFT16_Wukong"", ""tier"": 1, ""items"": [""TFT_Item_GargoyleStoneplate"", ""TFT_Item_SpectralGauntlet""]}, {""character_id"": ""TFT16_Kindred"", ""tier"": 2, ""items"": [""TFT_Item_GuinsoosRageblade"", ""TFT_Item_RunaansHurricane"", ""TFT_Item_InfinityEdge""]}, {""character_id"": ""TFT16_Fiddlesticks"", ""tier"": 2, ""items"": [""TFT_Item_Crownguard"", ""TFT_Item_RabadonsDeathcap""]}, {""character_id"": ""TFT16_Lucian"", ""tier"": 1, ""items"": [""TFT_Item_Morellonomicon""]}, {""character_id"": ""TFT16_Shyvana"", ""tier"": 1, ""items"": [""TFT_Item_ThiefsGloves"", ""TFT_Item_FrozenHeart"", ""TFT_Item_GargoyleStoneplate""]}, {""character_id"": ""TFT16_TahmKench"", ""tier"": 2, ""items"": [""TFT_Item_BlueBuff"", ""TFT16_Item_Bilgewater_PileOCitrus"", ""TFT9_Item_OrnnHullbreaker""]}]",b4f1a74a-9391-4c4b-931d-bbaf2d15f43b
NA1_5448851197,Linux Version 15.24.734.7485 (Dec 19 2025/11:16:31) [PUBLIC] <Releases/15.24>,16,2,9,38,33,180,[],[],"[{""character_id"": ""TFT16_Jinx"", ""tier"": 1, ""items"": [""TFT_Item_GuinsoosRageblade"", ""TFT5_Item_TrapClawRadiant"", ""TFT_Item_Artifact_Fishbones""]}]",b4f1a74a-9391-4c4b-931d-bbaf2d15f43b
